,x,y,z,kernel
0,243,408,41,1
1,301,372,-21,1
2,286,328,-26,1
3,286,411,48,1
4,202,361,14,1
5,321,324,140,1
6,305,397,160,1
7,310,319,38,1
8,245,298,125,1
9,364,313,69,1
10,345,285,0,1
11,239,382,135,1
12,259,417,76,1
13,307,345,20,1
14,144,358,8,1
15,306,510,87,1
16,482,452,158,1
17,249,342,26,1
18,359,390,-85,1
19,288,374,56,1
20,363,446,39,1
21,161,368,42,1
22,332,440,-27,1
23,238,419,90,1
24,376,358,126,1
25,302,224,14,1
26,305,426,54,1
27,361,328,28,1
28,236,404,52,1
29,378,389,58,1
30,246,397,43,1
31,269,341,44,1
32,294,389,149,1
33,298,390,-13,1
34,316,436,86,1
35,280,350,114,1
36,306,295,101,1
37,371,334,-5,1
38,243,176,54,1
39,243,383,31,1
40,319,295,0,1
41,224,321,-18,1
42,322,261,-18,1
43,324,417,0,1
44,258,337,9,1
45,338,511,20,1
46,314,326,47,1
47,325,416,-15,1
48,241,335,112,1
49,233,298,53,1
50,330,356,37,1
51,348,320,205,1
52,277,193,51,1
53,257,303,139,1
54,327,314,53,1
55,283,286,53,1
56,270,377,-30,1
57,210,371,136,1
58,370,307,58,1
59,332,302,38,1
60,290,390,48,1
61,312,316,152,1
62,284,346,180,1
63,208,400,54,1
64,260,275,85,1
65,294,352,70,1
66,306,413,113,1
67,211,362,41,1
68,265,361,-10,1
69,440,221,26,1
70,239,398,-3,1
71,335,384,167,1
72,312,361,-6,1
73,269,346,60,1
74,336,355,97,1
75,313,300,58,1
76,348,445,5,1
77,244,306,2,1
78,361,401,50,1
79,334,442,-48,1
80,336,361,145,1
81,335,273,123,1
82,292,393,65,1
83,339,510,39,1
84,147,404,64,1
85,427,413,-45,1
86,300,291,-4,1
87,277,311,-7,1
88,255,281,106,1
89,217,392,120,1
90,328,344,-26,1
91,344,326,43,1
92,205,337,125,1
93,296,380,115,1
94,308,389,24,1
95,375,426,97,1
96,281,521,62,1
97,363,345,-2,1
98,328,344,37,1
99,378,403,141,1
100,250,453,109,1
101,227,270,127,1
102,174,278,-7,1
103,310,486,0,1
104,462,367,133,1
105,272,314,104,1
106,209,363,88,1
107,360,382,51,1
108,241,291,38,1
109,251,318,16,1
110,405,401,123,1
111,314,407,68,1
112,332,227,-16,1
113,309,395,68,1
114,384,318,127,1
115,226,417,40,1
116,256,329,52,1
117,259,338,40,1
118,285,449,114,1
119,289,349,85,1
120,214,313,80,1
121,310,305,122,1
122,441,382,48,1
123,251,338,97,1
124,172,347,84,1
125,297,399,42,1
126,343,395,25,1
127,229,256,11,1
128,307,359,46,1
129,230,254,130,1
130,301,313,184,1
131,289,349,57,1
132,252,474,26,1
133,354,326,-44,1
134,350,412,69,1
135,287,346,-17,1
136,360,392,-25,1
137,280,403,144,1
138,372,484,286,1
139,192,281,80,1
140,290,353,34,1
141,275,295,88,1
142,244,342,120,1
