x,y,z,kernel
429,534,112,1
389,496,132,1
373,506,109,1
438,439,146,1
461,438,180,1
427,474,150,1
407,476,173,1
396,508,140,1
424,436,176,1
414,509,119,1
464,531,206,1
360,503,171,1
447,492,140,1
373,530,166,1
378,499,113,1
423,478,213,1
379,466,109,1
381,457,76,1
421,484,189,1
431,522,54,1
477,466,135,1
389,494,130,1
341,441,137,1
430,501,91,1
471,525,117,1
481,484,130,1
423,485,131,1
430,522,104,1
395,484,189,1
424,487,160,1
360,471,131,1
405,449,142,1
384,457,125,1
432,460,147,1
413,456,153,1
406,543,176,1
432,499,110,1
397,476,139,1
404,510,187,1
417,439,120,1
418,460,115,1
419,515,142,1
424,481,189,1
489,536,144,1
430,492,163,1
451,552,138,1
329,438,250,1
438,494,68,1
424,495,177,1
402,511,156,1
439,461,176,1
498,540,147,1
439,540,154,1
440,479,153,1
348,442,154,1
444,471,144,1
376,472,152,1
449,515,174,1
494,496,150,1
444,466,118,1
449,483,184,1
397,464,131,1
430,466,139,1
392,506,160,1
420,478,130,1
387,488,164,1
426,492,178,1
442,517,169,1
454,484,147,1
377,488,167,1
460,431,94,1
399,510,177,1
416,465,181,1
421,446,192,1
547,502,156,1
414,448,139,1
393,530,138,1
419,513,173,1
466,528,189,1
432,474,83,1
369,423,171,1
443,440,159,1
411,436,198,1
432,523,129,1
403,439,178,1
469,509,158,1
405,482,125,1
338,494,168,1
520,498,217,1
448,452,157,1
407,422,184,1
375,480,183,1
425,508,175,1
436,454,202,1
393,462,133,1
396,499,135,1
393,489,167,1
456,495,164,1
354,499,186,1
427,466,123,1
369,443,180,1
523,152,106,2
490,161,77,2
435,148,83,2
462,168,92,2
461,124,51,2
499,158,91,2
427,239,142,2
497,145,90,2
457,184,83,2
489,177,149,2
494,167,67,2
463,204,100,2
416,141,103,2
484,122,111,2
450,156,146,2
460,180,105,2
425,200,96,2
454,117,153,2
482,190,79,2
497,180,79,2
467,169,122,2
433,191,129,2
405,189,128,2
470,182,156,2
461,149,143,2
459,178,100,2
486,145,127,2
502,181,99,2
450,213,81,2
491,159,167,2
412,163,72,2
437,175,104,2
490,212,97,2
468,100,120,2
446,144,145,2
495,183,60,2
493,155,103,2
477,101,51,2
499,153,140,2
520,93,106,2
535,178,125,2
451,190,111,2
507,151,128,2
499,154,41,2
509,214,81,2
489,166,75,2
497,85,97,2
492,142,211,2
490,132,92,2
503,164,133,2
521,211,76,2
550,224,74,2
421,61,65,2
449,144,111,2
506,169,91,2
543,165,103,2
414,95,77,2
466,168,129,2
434,144,66,2
455,173,117,2
486,162,40,2
510,149,116,2
432,92,45,2
402,133,61,2
504,154,115,2
528,188,142,2
540,100,63,2
464,164,86,2
483,155,94,2
447,152,113,2
481,100,51,2
471,135,95,2
500,72,105,2
477,142,80,2
551,239,149,2
518,159,129,2
527,112,135,2
509,95,10,2
447,126,78,2
475,173,88,2
510,145,109,2
453,184,117,2
448,122,160,2
501,175,61,2
496,175,151,2
432,181,100,2
476,152,67,2
489,171,93,2
468,146,127,2
476,104,73,2
467,131,86,2
444,125,62,2
524,159,143,2
480,144,146,2
529,185,151,2
425,118,133,2
459,161,68,2
486,197,63,2
460,130,74,2
475,118,87,2
447,161,75,2
72,375,330,3
107,380,361,3
121,360,362,3
127,401,297,3
130,400,333,3
79,377,300,3
137,340,354,3
89,417,296,3
132,392,299,3
105,414,305,3
112,443,384,3
80,358,304,3
97,382,285,3
56,382,319,3
107,341,254,3
101,395,313,3
97,398,293,3
44,392,331,3
134,375,353,3
100,328,359,3
73,323,350,3
60,407,316,3
96,421,257,3
93,385,335,3
124,371,278,3
98,362,361,3
63,438,362,3
131,403,300,3
128,442,318,3
71,386,336,3
109,383,270,3
164,354,303,3
77,388,316,3
121,353,265,3
104,399,351,3
64,369,396,3
124,371,270,3
75,368,339,3
173,365,317,3
185,404,362,3
63,352,327,3
71,374,348,3
45,330,390,3
104,385,345,3
104,350,291,3
105,368,284,3
119,421,327,3
183,383,322,3
67,426,270,3
126,429,369,3
133,386,344,3
109,391,409,3
81,320,327,3
109,344,344,3
76,390,354,3
101,441,308,3
95,341,361,3
118,396,339,3
86,382,371,3
124,396,386,3
143,325,376,3
78,402,303,3
62,399,344,3
80,369,304,3
123,377,315,3
73,353,333,3
78,369,348,3
89,436,335,3
119,391,348,3
88,367,358,3
79,414,365,3
131,349,321,3
95,378,346,3
169,394,309,3
123,380,380,3
137,394,344,3
124,370,286,3
115,405,363,3
144,373,318,3
68,416,335,3
63,390,327,3
77,287,357,3
109,386,321,3
67,418,320,3
76,355,285,3
108,326,318,3
83,380,308,3
119,362,289,3
68,322,288,3
162,352,354,3
121,391,336,3
93,399,300,3
124,476,267,3
157,337,338,3
97,414,253,3
89,374,312,3
68,400,331,3
48,412,308,3
140,429,385,3
166,424,354,3
103,423,346,3
362,110,229,4
389,54,200,4
349,61,228,4
275,99,150,4
359,65,256,4
359,70,260,4
415,118,299,4
364,90,256,4
379,99,260,4
343,142,204,4
356,90,199,4
414,107,172,4
334,108,178,4
338,79,221,4
350,30,264,4
341,99,218,4
335,109,250,4
360,82,258,4
352,127,219,4
379,113,190,4
336,74,256,4
424,52,221,4
344,129,212,4
327,104,218,4
326,49,270,4
305,21,284,4
298,84,215,4
371,22,302,4
359,36,239,4
389,125,222,4
308,90,196,4
318,83,234,4
352,100,259,4
356,84,233,4
336,84,245,4
406,140,229,4
347,71,266,4
360,69,254,4
334,46,233,4
453,74,155,4
352,133,276,4
362,120,256,4
404,60,215,4
351,77,239,4
344,80,195,4
393,142,205,4
368,72,257,4
309,134,244,4
401,106,235,4
339,-27,260,4
312,191,256,4
339,131,208,4
376,102,226,4
325,42,273,4
342,47,214,4
321,79,215,4
354,109,266,4
335,62,274,4
381,74,248,4
388,68,231,4
362,96,223,4
381,64,252,4
322,98,215,4
318,161,209,4
275,50,256,4
325,107,189,4
342,108,213,4
352,128,199,4
379,76,222,4
362,75,225,4
379,120,252,4
368,79,208,4
382,119,263,4
350,115,265,4
296,175,205,4
360,108,209,4
363,99,178,4
335,73,244,4
350,125,236,4
376,68,232,4
318,101,199,4
334,54,226,4
315,64,220,4
418,93,266,4
378,91,275,4
315,93,225,4
366,108,208,4
360,67,208,4
349,99,207,4
362,74,170,4
376,57,275,4
354,92,240,4
377,52,171,4
347,81,240,4
352,114,224,4
389,122,238,4
358,131,247,4
305,85,301,4
364,95,228,4
360,83,248,4
345,16,244,4
107,67,46,5
162,100,75,5
62,-11,134,5
165,47,94,5
175,37,109,5
171,27,108,5
83,45,77,5
163,33,42,5
166,29,80,5
163,18,145,5
119,31,79,5
143,44,91,5
128,111,54,5
73,58,88,5
145,76,67,5
88,60,103,5
140,65,103,5
91,48,127,5
141,18,75,5
102,72,159,5
202,23,89,5
101,84,14,5
106,34,110,5
88,-20,142,5
134,-30,72,5
104,71,82,5
101,82,170,5
112,21,179,5
162,72,99,5
157,40,113,5
96,33,104,5
188,66,121,5
101,17,62,5
128,17,69,5
146,101,104,5
174,18,70,5
90,56,58,5
91,89,85,5
184,40,90,5
170,44,124,5
166,46,111,5
82,47,88,5
135,62,41,5
103,98,106,5
193,88,35,5
95,62,103,5
157,44,140,5
80,32,150,5
172,62,95,5
176,84,61,5
69,32,63,5
117,8,53,5
115,-9,173,5
100,35,123,5
149,51,68,5
121,89,55,5
106,84,20,5
188,63,74,5
164,38,106,5
223,26,102,5
124,79,102,5
140,62,104,5
96,36,105,5
195,8,78,5
148,30,110,5
93,60,105,5
100,75,27,5
122,37,89,5
91,49,171,5
138,28,98,5
136,1,96,5
39,15,97,5
210,50,109,5
122,53,113,5
150,33,74,5
155,88,89,5
96,36,93,5
130,106,42,5
128,9,83,5
82,-20,103,5
109,42,69,5
97,88,81,5
158,76,62,5
125,15,87,5
124,95,107,5
72,59,123,5
104,101,82,5
103,15,62,5
139,23,55,5
149,62,68,5
128,80,115,5
169,27,126,5
136,22,65,5
119,-21,135,5
70,83,101,5
110,56,43,5
117,52,80,5
111,31,114,5
171,49,65,5
123,25,93,5
164,64,109,5
